School DBN,Date,Enrolled,Absent,Present,Released
01M015,20180905,172,19,153,0
01M015,20180906,171,17,154,0
01M015,20180907,172,14,158,0
01M015,20180912,173,7,166,0
01M015,20180913,173,9,164,0
01M015,20180914,173,11,162,0
01M015,20180917,173,10,163,0
01M015,20180918,174,7,167,0
01M015,20180920,174,7,167,0
01M015,20180921,174,8,166,0
01M015,20180924,174,13,161,0
01M015,20180925,174,9,165,0
01M015,20180926,174,6,168,0
01M015,20180927,173,7,166,0
01M015,20180928,173,15,158,0
01M015,20181001,172,4,168,0
01M015,20181002,172,7,165,0
01M015,20181003,171,8,163,0
01M015,20181004,171,10,161,0
01M015,20181005,170,8,162,0
01M015,20181009,170,14,156,0
01M015,20181010,170,11,159,0
01M015,20181011,170,9,161,0
01M015,20181012,170,11,159,0
01M015,20181015,170,11,159,0
01M015,20181016,170,6,164,0
01M015,20181017,170,5,165,0
01M015,20181018,170,8,162,0
01M015,20181019,170,14,156,0
01M015,20181022,170,20,150,0
01M015,20181023,171,5,166,0
01M015,20181024,171,9,162,0
01M015,20181025,171,6,165,0
01M015,20181026,171,10,161,0
01M015,20181029,174,11,163,0
01M015,20181030,174,6,168,0
01M015,20181031,174,13,161,0
01M015,20181101,174,8,166,0
01M015,20181102,174,17,157,0
01M015,20181105,174,7,167,0
01M015,20181107,174,10,164,0
01M015,20181108,174,13,161,0
01M015,20181109,174,11,163,0
01M015,20181113,174,14,160,0
01M015,20181114,174,7,167,0
01M015,20181115,174,49,125,0
01M015,20181116,174,22,152,0
01M015,20181119,174,13,161,0
01M015,20181120,172,11,161,0
01M015,20181121,172,29,143,0
01M015,20181126,172,17,155,0
01M015,20181127,173,10,163,0
01M015,20181128,173,15,158,0
01M015,20181129,173,13,160,0
01M015,20181130,173,7,166,0
01M015,20181203,173,13,160,0
01M015,20181204,173,9,164,0
01M015,20181205,173,7,166,0
01M015,20181206,173,4,169,0
01M015,20181207,173,9,164,0
01M015,20181210,173,12,161,0
01M015,20181211,173,12,161,0
01M015,20181212,173,7,166,0
01M015,20181213,173,5,168,0
01M015,20181214,176,6,170,0
01M015,20181217,174,16,158,0
01M015,20181218,174,11,163,0
01M015,20181219,175,23,152,0
01M015,20181220,175,24,151,0
01M015,20181221,175,40,135,0
01M015,20190102,176,31,145,0
01M015,20190103,176,21,155,0
01M015,20190104,176,15,161,0
01M015,20190107,174,10,164,0
01M015,20190108,174,13,161,0
01M015,20190109,174,11,163,0
01M015,20190110,175,6,169,0
01M015,20190111,174,6,168,0
01M015,20190114,174,14,160,0
01M015,20190115,174,13,161,0
01M015,20190116,174,7,167,0
01M015,20190117,174,12,162,0
01M015,20190118,174,15,159,0
01M015,20190122,173,23,150,0
01M015,20190123,173,19,154,0
01M015,20190124,173,18,155,0
01M015,20190125,173,15,158,0
01M015,20190128,175,10,165,0
01M015,20190129,174,7,167,0
01M015,20190130,174,17,157,0
01M015,20190131,174,52,111,11
01M015,20190201,175,21,154,0
01M015,20190204,175,22,153,0
01M015,20190206,175,24,151,0
01M015,20190207,175,22,153,0
01M015,20190208,175,38,137,0
01M015,20190211,175,21,154,0
01M015,20190212,175,27,148,0
01M015,20190213,175,11,164,0
01M015,20190214,175,3,172,0
01M015,20190215,174,13,161,0
01M015,20190225,174,18,156,0
01M015,20190226,174,9,165,0
01M015,20190227,174,12,162,0
01M015,20190228,174,7,167,0
01M015,20190301,174,16,158,0
01M015,20190305,174,7,167,0
01M015,20190306,174,9,165,0
01M015,20190307,175,12,163,0
01M015,20190308,175,10,165,0
01M015,20190311,175,18,157,0
01M015,20190312,175,9,166,0
01M015,20190313,175,9,166,0
01M015,20190314,175,36,139,0
01M015,20190315,175,12,163,0
01M015,20190318,175,11,164,0
01M015,20190319,175,9,166,0
01M015,20190320,175,10,165,0
01M015,20190321,175,13,162,0
01M015,20190322,175,19,156,0
01M015,20190325,175,11,164,0
